image_url;seller_url;Title;Author
http://ecx.images-amazon.com/images/I/416YSA318YL._SL160_.jpg;http://www.amazon.co.uk/Manchester-Pals-Michael-Stedman/dp/1844150461;The Manchester Pals;Michael Stedman
http://ecx.images-amazon.com/images/I/51EZJY0J6YL._SL160_.jpg;http://www.amazon.co.uk/Battles-Tigris-Mesopotamian-Campaign-First/dp/1844154300;Battles on the Tigris: The Mesopotamian Campaign of the First World War;Ron Wilcox
http://ecx.images-amazon.com/images/I/51vmrEWuq7L._SL160_.jpg;http://www.amazon.co.uk/Kaisers-Battle-Martin-Middlebrook/dp/184415498X;The Kaiser's Battle;Martin Middlebrook
http://ecx.images-amazon.com/images/I/51K6PK0MD3L._SL160_.jpg;http://www.amazon.co.uk/Sepoys-Trenches-Indian-Western-1914-15/dp/1862273545;Sepoys in the Trenches: The Indian Corps on the Western Front 1914-15;Gordon Corrigan
http://ecx.images-amazon.com/images/I/510ZHD2L9xL._SL160_.jpg;http://www.amazon.co.uk/Call-Arms-British-1914-18-Cassell/dp/0304367222;Call to Arms: The British Army 1914-18;Charles Messenger
http://ecx.images-amazon.com/images/I/51fkGVDdKDL._SL160_.jpg;http://www.amazon.co.uk/First-World-War-One-Arms/dp/0199261911;The First World War, Volume One: To Arms;Hew Strachan
http://ecx.images-amazon.com/images/I/51tSeCVdJxL._SL160_.jpg;http://www.amazon.co.uk/Aces-Falling-Peter-Hart/dp/0753824078;Aces Falling;Peter Hart
http://ecx.images-amazon.com/images/I/41Oq9o6qSHL._SL160_.jpg;http://www.amazon.co.uk/Bloody-April-Slaughter-Skies-Cassell/dp/0304367192;Bloody April: Slaughter in the Skies Over Arras, 1917;Peter Hart
http://ecx.images-amazon.com/images/I/41QtKWpE4rL._SL160_.jpg;http://www.amazon.co.uk/War-Infantry-Knew-Chronicle-Service/dp/0349106355;The War the Infantry Knew: A Chronicle of Service in France and Belgium History Greats;J.C. Dunn
http://ecx.images-amazon.com/images/I/41KB4MTSXAL._SL160_.jpg;http://www.amazon.co.uk/Weary-Road-Recollections-Subaltern-Infantry/dp/184734111X;Weary Road. The Recollections of a Subaltern of Infantry 2001;Charles Douie
http://ecx.images-amazon.com/images/I/41itu8-MmOL._SL160_.jpg;http://www.amazon.co.uk/Subaltern-Somme-Max-Plowman/dp/1843420449;A Subaltern on the Somme;Max Plowman
http://ecx.images-amazon.com/images/I/41yHtzH3YmL._SL160_.jpg;http://www.amazon.co.uk/Before-Helpless-Sight-Suffering-1914-1918/dp/0754658538;Before My Helpless Sight: Suffering, Dying and Military Medicine on the Western Front, 1914-1918 The History of Medicine in Context;Leo van Bergen
http://ecx.images-amazon.com/images/I/51c6WdZIhTL._SL160_.jpg;http://www.amazon.co.uk/Douglas-First-Cambridge-Military-Histories/dp/0521898021;Douglas Haig and the First World War; J. P. Harris
http://ecx.images-amazon.com/images/I/51VQ1cK1UnL._SL160_.jpg;http://www.amazon.co.uk/Somme-Cassell-Military-Paperbacks/dp/0304367354;The Somme;Peter Hart
http://ecx.images-amazon.com/images/I/41Va4iYshdL._SL160_.jpg;http://www.amazon.co.uk/Myriad-Faces-War-Britain-1914-18/dp/0745606458;The Myriad Faces of War: Britain and the Great War, 1914-18;WILSON
http://ecx.images-amazon.com/images/I/413QPC2XCML._SL160_.jpg;http://www.amazon.co.uk/Blighty-British-Society-Era-Great/dp/0582061377;Blighty: British Society in the Era of the Great War;Gerard J. De Groot
http://ecx.images-amazon.com/images/I/31AZLR+7JML._SL160_.jpg;http://www.amazon.co.uk/Theres-Devil-Drum-John-Lucy/dp/1843421100;There's a Devil in the Drum;John F. Lucy
http://ecx.images-amazon.com/images/I/51gYK2acdRL._SL160_.jpg;http://www.amazon.co.uk/First-World-War-Austria-Hungary-1914-1918/dp/0340573481;The First World War: Germany and Austria-Hungary 1914-1918 Modern Wars;Holger Herwig
